line;D;M;M_;F;B_coeff
1;0;0;0;1;5128122
2;0;0;1;1;280602
3;0;0;1;-1;277693
4;2;0;0;-1;173237
5;2;0;-1;1;55413
6;2;0;-1;-1;46271
7;2;0;0;1;32573
8;0;0;2;1;17198
9;2;0;1;-1;9266
10;0;0;2;-1;8822
11;2;-1;0;-1;8216
12;2;0;-2;-1;4324
13;2;0;1;1;4200
14;2;1;0;-1;-3359
15;2;-1;-1;1;2463
16;2;-1;0;1;2211
17;2;-1;-1;-1;2065
18;0;1;-1;-1;-1870
19;4;0;-1;-1;1828
20;0;1;0;1;-1794
21;0;0;0;3;-1749
22;0;1;-1;1;-1565
23;1;0;0;1;-1491
24;0;1;1;1;-1475
25;0;1;1;-1;-1410
26;0;1;0;-1;-1344
27;1;0;0;-1;-1335
28;0;0;3;1;1107
29;4;0;0;-1;1021
30;4;0;-1;1;833
31;0;0;1;-3;777
32;4;0;-2;1;671
33;2;0;0;-3;607
34;2;0;2;-1;596
35;2;-1;1;-1;491
36;2;0;-2;1;-451
37;0;0;3;-1;439
38;2;0;2;1;422
39;2;0;-3;-1;421
40;2;1;-1;1;-366
41;2;1;0;1;-351
42;4;0;0;1;331
43;2;-1;1;1;315
44;2;-2;0;-1;302
45;0;0;1;3;-283
46;2;1;1;-1;-229
47;1;1;0;-1;223
48;1;1;0;1;223
49;0;1;-2;-1;-220
50;2;1;-1;-1;-220
51;1;0;1;1;-185
52;2;-1;-2;-1;181
53;0;1;2;1;-177
54;4;0;-2;-1;176
55;4;-1;-1;-1;166
56;1;0;1;-1;-164
57;4;0;1;-1;132
58;1;0;-1;-1;-119
59;4;-1;0;-1;115
60;2;-2;0;1;107
